address,delegator,date,voting_power
0x8962285faac45a7cbc75380c484523bb7c32d429,0x95F3...dF3f,2023-04-15,2.07
0x8962285faac45a7cbc75380c484523bb7c32d429,eagledrop.eth,2022-10-02,1.65
0x8962285faac45a7cbc75380c484523bb7c32d429,yungsb.eth,2023-03-24,1.24
0x8962285faac45a7cbc75380c484523bb7c32d429,wangjingjiu.eth,2023-03-25,1.1
0x8962285faac45a7cbc75380c484523bb7c32d429,0xe23B...D688,2023-04-01,1.0
0x8962285faac45a7cbc75380c484523bb7c32d429,argentxx.eth,2023-04-13,1.0
0x8962285faac45a7cbc75380c484523bb7c32d429,你说法治我都想笑.eth,2022-11-30,1.0
0x8962285faac45a7cbc75380c484523bb7c32d429,663623.eth,2022-11-30,0.3
0x8962285faac45a7cbc75380c484523bb7c32d429,197624.eth,2022-11-30,0.22
0x8962285faac45a7cbc75380c484523bb7c32d429,282895.eth,2022-11-30,0.22
0x8962285faac45a7cbc75380c484523bb7c32d429,288365.eth,2022-11-30,0.22
0x8962285faac45a7cbc75380c484523bb7c32d429,608913.eth,2022-11-30,0.22
0x8962285faac45a7cbc75380c484523bb7c32d429,602338.eth,2022-11-30,0.22
0x8962285faac45a7cbc75380c484523bb7c32d429,898984.eth,2022-11-30,0.22
0x8962285faac45a7cbc75380c484523bb7c32d429,847474.eth,2022-11-30,0.21
0x8962285faac45a7cbc75380c484523bb7c32d429,668639.eth,2022-11-30,0.21
0x8962285faac45a7cbc75380c484523bb7c32d429,Mohammed,2022-04-03,0.06
0x8962285faac45a7cbc75380c484523bb7c32d429,0xfD18...6F06,2023-04-09,0.03
0x8962285faac45a7cbc75380c484523bb7c32d429,crazymusk.eth,2023-02-12,0.0
0x8962285faac45a7cbc75380c484523bb7c32d429,0x0c78...0EC4,2023-03-16,0.0
0x8962285faac45a7cbc75380c484523bb7c32d429,0xff7D...4dcc,2023-03-25,0.0
0x8962285faac45a7cbc75380c484523bb7c32d429,menchester.eth,2023-04-08,0.0
0x88fb3d509fc49b515bfeb04e23f53ba339563981,0xa16D...6e01,2021-03-06,5000000.0
0x88fb3d509fc49b515bfeb04e23f53ba339563981,0x0489...14a9,2020-11-13,392249.65
0x88fb3d509fc49b515bfeb04e23f53ba339563981,0x6bB8...30b3,2021-05-26,350000.86
0x88fb3d509fc49b515bfeb04e23f53ba339563981,colburn.eth,2020-11-13,6795.5
